part_number,name,price,measurement,sale_status
24320136149,水箱PB15,0.00,支,1
24320073124,前轮毂翻新矫正,0.00,个,1
20957154148,保时捷GT4 RS机油格,0.00,个,1
50853120214,宝马5系 上水管,0.00,条,1
50852776106,宝马5系 水管（付水壶-缸盖）,0.00,条,1
80342208010,宝马5系付水壶通风管,0.00,条,1
80342130712,宝马5系排空水管,0.00,条,1
80342052414,宝马5系废气管,0.00,条,1
80341990169,宝马5系缸体密封盖,0.00,个,1
80341927744,宝马5系水箱水,0.00,支,1
80341865115,宝马5系波箱委托胶,0.00,个,1
80341802510,宝马5系上水管缸体连接管,0.00,条,1
80341740136,宝马5系进气歧管密封胶圈,0.00,个,1
80341677111,宝马5系机油冷却水管,0.00,条,1
80341615812,宝马5系涡轮冷却水管（G12/G30/G3）,0.00,条,1
80341552467,宝马5系涡轮冷却水管,0.00,条,1
80341490042,宝马5系热管理模块（节温器）,0.00,个,1
80341427114,宝马5系机油格座总成（全铝）,0.00,个,1
80341349150,宝马5系水泵总成（带支架）,0.00,个,1
53120208358,全车 PET花剑银,4899.00,卷,1
53031380111,奔驰E53水箱水,85.00,支,1
53031317897,奔驰E53附加压缩机,9000.00,个,1
25302621113,头盔,0.00,个,1
25221605111,保时捷targa门板内饰,0.00,套,1
15029035195,法拉利机油格,0.00,个,1
14252757911,Macan GTS ES 刹车皮,0.00,个,1
14231991107,Mancan GTS ES 刹车皮,0.00,个,1
70852405013,MINI后机顶胶螺丝,0.00,粒,1
70745296711,MINI垫片,0.00,个,1
65513066123,奔驰GLC43 机油格,120.00,个,1
64909303162,宝马X3M机油格,0.00,个,1
64909240314,宝马X3M空调风格,0.00,个,1
62103876129,奔驰E63米其林265/35ZR20 99Y PS4S M01,0.00,条,1
61322535811,宝马1系125米其林225/40ZR18 92Y CUP2 CONNECT 2.0,0.00,条,1
61138442415,宝马1系9448 MX72 刹车片,0.00,个,1
55051857404,保时捷GTS卡宴车标,0.00,个,1
54959326022,保时捷GTS冷气风口,0.00,个,1
54959263514,保时捷GTS涡轮进气管道左,0.00,条,1
54959185132,保时捷GTS冷气风格,0.00,个,1
54959123014,保时捷GTS风格,0.00,个,1
54959060811,保时捷GTS机油格胶圈,0.00,个,1
54958998107,保时捷GTS机油格,0.00,个,1
20950988105,C63 米其林285/30ZR19 98Y PS4S,0.00,条,1
20806145514,C63空调风格（芯）,0.00,只,1
20806083310,C63空调风格,0.00,只,1
20806005014,C63机油格,0.00,个,1
13319065555,PET珍珠白变紫,0.00,卷,1
11744836569,喷油嘴 进气口喷射（凌志ES）,0.00,支,1
15016273413,蔚来ET5T RSS避震,0.00,套,1
91921286103,比亚迪唐空调格,80.00,个,1
91921224715,比亚迪唐进气格,90.00,个,1
91920911009,比亚迪唐机油格,70.00,个,1
64205570385,盯盯拍-九鹰Q5,600.00,个,1
63242504414,G63头盖徽标,0.00,个,1
63213191314,G63 XPEL车衣,0.00,米,1
42538814485,GTI RECARO凳子,46000.00,个,1
21235033215,特斯拉Model X年审,500.00,个,1
21157204040,特斯拉Model X过户及竞价,2000.00,个,1
75620231115,2753020有卫途Z02R轮胎,0.00,个,1
74208362653,奥迪空调风格,0.00,个,1
74208299215,奥迪机油格（15）,0.00,个,1
74208237011,奥迪A5火嘴,0.00,只,1
62519638342,ICR PET 丁香紫,0.00,套,1
32814591627,丰田威尔法冷气风格,0.00,个,1
32814497151,丰田威尔法风格,0.00,个,1
32814435213,丰田威尔法机油格,0.00,个,1
75630341597,宝马5系Vten侧裙,980.00,套,1
34345232058,雷克萨斯ES后避震,1000.00,条,1
34304607330,雷克萨斯ES后避震顶胶,500.00,个,1
82720840213,理想Mega内饰翻毛皮星空顶,42000.00,套,1
81213538673,特斯拉Model X漆面修复,3000.00,套,1
81111444110,米其林275/45R20,1850.00,条,1
81015381125,全车PET星空白魅金,8800.00,套,1
80942927890,特斯拉Model X空调格外,880.00,个,1
80942865612,特斯拉Model X空调格内,240.00,个,1
80837989115,特斯拉Model X卡钳喷漆,700.00,个,1
80837911147,特斯拉Model X轮毂修复,700.00,个,1
80750036113,特斯拉Model X维修单B,1597.48,套,1
80709645019,特斯拉Model X维修单A,2792.76,套,1
80626426287,特斯拉Model X BLOX螺母,680.00,套,1
22331235114,保时捷帕拉梅拉一阶升级,0.00,套,1
22307094613,保时捷帕拉梅拉HJS头段,0.00,套,1
61133508400,秃鹰改色膜电镀银电镀金,0.00,套,1
60946461038,M3倒视镜头盖喷漆修复,2900.00,套,1
1431906231,ROWE德威0W-20,176.00,支,1
4462474151,ROWE德威5W-30,168.00,支,1
1431892121,ROWE德威0-30,260.00,支,1
1431884391,ROWE德威0-40,260.00,支,1
14319062314,ROWE德威0W-20,0.00,支,1
14318999510,德威0W-40（1L）PAO全合成,176.00,支,1
14318921213,ROWE德威0-30,218.00,支,1
14318843915,ROWE德威0-40,248.00,支,1
81925132514,保时捷 后刹车皮,0.00,套,1
81925054630,保时捷 后刹车皮感应线,0.00,条,1
80845331134,PET液态玛瑙绿,0.00,米,1
80339048810,韩亚PET钢琴黑,0.00,米,1
51601890727,保时捷卡宴 前刹车盘,0.00,个,1
51601812159,保时捷卡宴 油水分离器（银色/左）5-,0.00,个,1
51601750135,保时捷卡宴 油水分离器（银色/左）1-,0.00,个,1
51601687110,保时捷卡宴 波箱油格组件,0.00,套,1
51601625812,保时捷卡宴 波箱油（1L）,0.00,支,1
51601562567,保时捷卡宴 波箱胶,0.00,个,1
51601500143,保时捷卡宴 方向机油（1L）,0.00,支,1
51601437115,保时捷卡宴 水箱水（1L）,0.00,支,1
51601375510,保时捷卡宴 机油格胶圈,0.00,个,1
51601312136,保时捷卡宴 机油格,0.00,个,1
51601250111,保时捷卡宴 冷气风格,0.00,个,1
51601187813,保时捷卡宴 风格,0.00,个,1
51601125869,保时捷卡宴 后刹车报警线,0.00,条,1
51601062444,保时捷卡宴 前刹车报警线,0.00,条,1
51601000020,保时捷卡宴 后刹车盘,0.00,个,1
51600937311,保时捷卡宴 后刹车片,0.00,套,1
51600859014,保时捷卡宴 前刹车片,0.00,套,1
51600781140,保时捷卡宴 刹车油（1L）,0.00,支,1
51600703113,保时捷卡宴 皮带张紧组件,0.00,套,1
51600625985,保时捷卡宴  机脚胶R,0.00,个,1
51600546858,保时捷卡宴 机脚胶L,0.00,个,1
51600453021,保时捷卡宴 皮带张紧器,0.00,个,1
51600375154,保时捷卡宴 下水管,0.00,条,1
51600296126,保时捷卡宴 上水管,0.00,条,1
51600171714,保时捷卡宴 控制管路,0.00,条,1
34802903048,理想L9 亚雅马哈底盘件,7800.00,套,1
32453019391,保时捷992 SD包围 排气,63000.00,套,1
31402968876,L9 AP刹车,0.00,套,1
31217577152,理想L9全车威固玻璃膜,0.00,套,1
25943103608,奔驰S电镀件,0.00,套,1
94714543119,保时捷718刹车油含工时,0.00,套,1
94714480595,保时捷718RH356刹车碟套,0.00,套,1
94714418170,保时捷718卡钳保养翻新套,0.00,套,1
85547476571,宝马X4M运动档把,6400.00,个,1
83641234542,宝马3系波箱油,0.00,支,1
82605558111,威尔法前杠前唇,0.00,套,1
75819284210,帕拉梅拉右倒车镜灯,0.00,个,1
75741768951,帕拉梅拉后视镜壳喷漆,0.00,个,1
75741533128,帕拉梅拉前杠喷漆,0.00,个,1
74932468610,帕拉梅拉倒视镜片R,0.00,片,1
74719701100,古斯特年审,0.00,1,1
65958246910,理想L8 方向机内球头,0.00,个,1
63837769129,倍耐力255/40R20,0.00,条,1
63745128508,蔚来ET5T HRE电风扇,0.00,套,1
81856440705,ROWE德威 DOT4 刹车油（1L）,0.00,支,1
13107848157,大众GTI湖蓝色安全带,1600.00,套,1
53753621032,传祺M8空调格,0.00,个,1
53753542905,传祺M8进气格,0.00,个,1
53753480141,传祺M8机油格,0.00,个,1
50849167213,宝马1系中冷,0.00,套,1
22744589020,米其林255/40R18,0.00,条,1
22744527512,米其林225/45R18,0.00,条,1
22417871122,宝马3系波箱油底壳带滤芯,0.00,个,1
22130308714,宝马3系进气格,0.00,个,1
