序号,配件编码,配件名称,销售单价,单位,预警,状态
1,24320136149,水箱PB15,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
2,24320073124,前轮毂翻新矫正,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
3,20957154148,保时捷GT4 RS机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
4,50853120214,宝马5系 上水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
5,50852776106,宝马5系 水管（付水壶-缸盖）,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
6,80342208010,宝马5系付水壶通风管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
7,80342130712,宝马5系排空水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
8,80342052414,宝马5系废气管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
9,80341990169,宝马5系缸体密封盖,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,80341927744,宝马5系水箱水,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
11,80341865115,宝马5系波箱委托胶,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
12,80341802510,宝马5系上水管缸体连接管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
13,80341740136,宝马5系进气歧管密封胶圈,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
14,80341677111,宝马5系机油冷却水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
15,80341615812,宝马5系涡轮冷却水管（G12/G30/G3）,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
16,80341552467,宝马5系涡轮冷却水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
17,80341490042,宝马5系热管理模块（节温器）,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,80341427114,宝马5系机油格座总成（全铝）,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,80341349150,宝马5系水泵总成（带支架）,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,53120208358,全车 PET花剑银,￥4899.00,卷,"预警库存：/                                

                                滞销天数：/",在售
1,53031380111,奔驰E53水箱水,￥85.00,支,"预警库存：/                                

                                滞销天数：/",在售
2,53031317897,奔驰E53附加压缩机,￥9000.00,个,"预警库存：/                                

                                滞销天数：/",在售
3,25302621113,头盔,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
4,25221605111,保时捷targa门板内饰,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
5,15029035195,法拉利机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
6,14252757911,Macan GTS ES 刹车皮,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
7,14231991107,Mancan GTS ES 刹车皮,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
8,70852405013,MINI后机顶胶螺丝,￥0.00,粒,"预警库存：/                                

                                滞销天数：/",在售
9,70745296711,MINI垫片,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,65513066123,奔驰GLC43 机油格,￥120.00,个,"预警库存：/                                

                                滞销天数：/",在售
11,64909303162,宝马X3M机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
12,64909240314,宝马X3M空调风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
13,62103876129,奔驰E63米其林265/35ZR20 99Y PS4S M01,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
14,61322535811,宝马1系125米其林225/40ZR18 92Y CUP2 CONNECT 2.0,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
15,61138442415,宝马1系9448 MX72 刹车片,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
16,55051857404,保时捷GTS卡宴车标,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
17,54959326022,保时捷GTS冷气风口,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,54959263514,保时捷GTS涡轮进气管道左,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
19,54959185132,保时捷GTS冷气风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,54959123014,保时捷GTS风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
1,54959060811,保时捷GTS机油格胶圈,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
2,54958998107,保时捷GTS机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
3,20950988105,C63 米其林285/30ZR19 98Y PS4S,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
4,20806145514,C63空调风格（芯）,￥0.00,只,"预警库存：/                                

                                滞销天数：/",在售
5,20806083310,C63空调风格,￥0.00,只,"预警库存：/                                

                                滞销天数：/",在售
6,20806005014,C63机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
7,13319065555,PET珍珠白变紫,￥0.00,卷,"预警库存：/                                

                                滞销天数：/",在售
8,11744836569,喷油嘴 进气口喷射（凌志ES）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
9,15016273413,蔚来ET5T RSS避震,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
10,91921286103,比亚迪唐空调格,￥80.00,个,"预警库存：/                                

                                滞销天数：/",在售
11,91921224715,比亚迪唐进气格,￥90.00,个,"预警库存：/                                

                                滞销天数：/",在售
12,91920911009,比亚迪唐机油格,￥70.00,个,"预警库存：/                                

                                滞销天数：/",在售
13,64205570385,盯盯拍-九鹰Q5,￥600.00,个,"预警库存：/                                

                                滞销天数：/",在售
14,63242504414,G63头盖徽标,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
15,63213191314,G63 XPEL车衣,￥0.00,米,"预警库存：/                                

                                滞销天数：/",在售
16,42538814485,GTI RECARO凳子,￥46000.00,个,"预警库存：/                                

                                滞销天数：/",在售
17,21235033215,特斯拉Model X年审,￥500.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,21157204040,特斯拉Model X过户及竞价,￥2000.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,75620231115,2753020有卫途Z02R轮胎,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,74208362653,奥迪空调风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
1,74208299215,奥迪机油格（15）,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
2,74208237011,奥迪A5火嘴,￥0.00,只,"预警库存：/                                

                                滞销天数：/",在售
3,62519638342,ICR PET 丁香紫,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
4,32814591627,丰田威尔法冷气风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
5,32814497151,丰田威尔法风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
6,32814435213,丰田威尔法机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
7,75630341597,宝马5系Vten侧裙,￥980.00,套,"预警库存：/                                

                                滞销天数：/",在售
8,34345232058,雷克萨斯ES后避震,￥1000.00,条,"预警库存：/                                

                                滞销天数：/",在售
9,34304607330,雷克萨斯ES后避震顶胶,￥500.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,82720840213,理想Mega内饰翻毛皮星空顶,￥42000.00,套,"预警库存：/                                

                                滞销天数：/",在售
11,81213538673,特斯拉Model X漆面修复,￥3000.00,套,"预警库存：/                                

                                滞销天数：/",在售
12,81111444110,米其林275/45R20,￥1850.00,条,"预警库存：/                                

                                滞销天数：/",在售
13,81015381125,全车PET星空白魅金,￥8800.00,套,"预警库存：/                                

                                滞销天数：/",在售
14,80942927890,特斯拉Model X空调格外,￥880.00,个,"预警库存：/                                

                                滞销天数：/",在售
15,80942865612,特斯拉Model X空调格内,￥240.00,个,"预警库存：/                                

                                滞销天数：/",在售
16,80837989115,特斯拉Model X卡钳喷漆,￥700.00,个,"预警库存：/                                

                                滞销天数：/",在售
17,80837911147,特斯拉Model X轮毂修复,￥700.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,80750036113,特斯拉Model X维修单B,￥1597.48,套,"预警库存：/                                

                                滞销天数：/",在售
19,80709645019,特斯拉Model X维修单A,￥2792.76,套,"预警库存：/                                

                                滞销天数：/",在售
20,80626426287,特斯拉Model X BLOX螺母,￥680.00,套,"预警库存：/                                

                                滞销天数：/",在售
1,22331235114,保时捷帕拉梅拉一阶升级,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
2,22307094613,保时捷帕拉梅拉HJS头段,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
3,61133508400,秃鹰改色膜电镀银电镀金,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
4,60946461038,M3倒视镜头盖喷漆修复,￥2900.00,套,"预警库存：/                                

                                滞销天数：/",在售
5,1431906231,ROWE德威0W-20,￥176.00,支,"预警库存：/                                

                                滞销天数：/",在售
6,4462474151,ROWE德威5W-30,￥168.00,支,"预警库存：/                                

                                滞销天数：/",在售
7,1431892121,ROWE德威0-30,￥260.00,支,"预警库存：/                                

                                滞销天数：/",在售
8,1431884391,ROWE德威0-40,￥260.00,支,"预警库存：/                                

                                滞销天数：/",在售
9,14319062314,ROWE德威0W-20,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
10,14318999510,德威0W-40（1L）PAO全合成,￥176.00,支,"预警库存：/                                

                                滞销天数：/",在售
11,14318921213,ROWE德威0-30,￥218.00,支,"预警库存：/                                

                                滞销天数：/",在售
12,14318843915,ROWE德威0-40,￥248.00,支,"预警库存：/                                

                                滞销天数：/",在售
13,81925132514,保时捷 后刹车皮,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
14,81925054630,保时捷 后刹车皮感应线,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
15,80845331134,PET液态玛瑙绿,￥0.00,米,"预警库存：/                                

                                滞销天数：/",在售
16,80339048810,韩亚PET钢琴黑,￥0.00,米,"预警库存：/                                

                                滞销天数：/",在售
17,51601890727,保时捷卡宴 前刹车盘,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,51601812159,保时捷卡宴 油水分离器（银色/左）5-,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,51601750135,保时捷卡宴 油水分离器（银色/左）1-,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,51601687110,保时捷卡宴 波箱油格组件,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
1,51601625812,保时捷卡宴 波箱油（1L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
2,51601562567,保时捷卡宴 波箱胶,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
3,51601500143,保时捷卡宴 方向机油（1L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
4,51601437115,保时捷卡宴 水箱水（1L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
5,51601375510,保时捷卡宴 机油格胶圈,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
6,51601312136,保时捷卡宴 机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
